OriginalAddress1,PermitNum,PermitClass,PermitClassMapped,PermitTypeDesc,Description,HousingUnits,HousingUnitsRemoved,HousingUnitsAdded,AppliedDate,EstProjectCost,IssuedDate,ExpiresDate,StatusCurrent,OriginalCity,OriginalState,OriginalZip,ContractorCompanyName,Link,Latitude,Longitude,Location1
3849 NE 88th ST,6997182-CN,Single Family/Duplex,Residential,New,"Construct SOUTH SFR, per plan [Established use as single-family residence (SFR) with a detached accessory dwelling unit (DADU) per land use code. Construct as two one-family dwellings; review and process for two records under 6997182-CN).",0,0,1,12/13/2023 12:00:00 AM,356688,02/13/2024 12:00:00 AM,08/13/2025 12:00:00 AM,Issued,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6997182-CN,47.69214612,-122.28599074,"(47.69214612, -122.28599074)"
3847 NE 88TH ST,6999324-CN,Single Family/Duplex,Residential,New,"Construct NORTH DADU, per plan [Established use as single-family residence (SFR) with a detached accessory dwelling unit (DADU) per land use code. Construct as two one-family dwellings; review and process for two records under 6997182-CN).",0,0,1,12/12/2023 12:00:00 AM,143493,02/13/2024 12:00:00 AM,08/13/2025 12:00:00 AM,Issued,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6999324-CN,47.69214612,-122.28599074,"(47.69214612, -122.28599074)"
8843 9TH AVE NW,6958374-CN,Single Family/Duplex,Residential,New,"Construct DADU with attached garage, per plan [Establish use as single family residence (SFR) and detached accessory dwelling unit (DADU), per land use code.  Construct as single-family residences with accessory garage; review and process for two records under 6916754-CN].",0,0,1,12/07/2023 12:00:00 AM,194323,12/07/2023 12:00:00 AM,06/07/2025 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6958374-CN,47.69412454,-122.36897801,"(47.69412454, -122.36897801)"
2324 N 61ST ST,6987292-CN,Single Family/Duplex,Residential,New,"Established use as single family residence and a detached accessory dwelling unit per land use code. Construct north one-family dwelling, per plan",0,0,1,11/30/2023 12:00:00 AM,171228,02/01/2024 12:00:00 AM,08/01/2025 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6987292-CN,47.67318626,-122.32977805,"(47.67318626, -122.32977805)"
2415 E LOUISA ST,6987932-CN,Single Family/Duplex,Residential,New,"Establish use as single family dwelling with attached accessory dwelling unit, per land use code.  Construct as two-family dwelling with attached garage, per plan",0,0,2,11/28/2023 12:00:00 AM,468678,02/20/2024 12:00:00 AM,08/20/2025 12:00:00 AM,Issued,SEATTLE,WA,98112,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6987932-CN,47.64225301,-122.30131264,"(47.64225301, -122.30131264)"
517 18th AVE E,6998104-CN,Single Family/Duplex,Residential,New,"Construct new detached garage to a single-family residence, subject to field inspection.",,,,11/28/2023 12:00:00 AM,75000,11/28/2023 12:00:00 AM,05/28/2025 12:00:00 AM,Issued,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6998104-CN,47.62378613,-122.30900317,"(47.62378613, -122.30900317)"
743 N 78TH ST,6988207-CN,Single Family/Duplex,Residential,New,"Establish use as single-family residence, per land use code.  Construct one-family dwelling, per plan",1,0,0,11/27/2023 12:00:00 AM,496062,02/13/2024 12:00:00 AM,08/13/2025 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6988207-CN,47.68532711,-122.34802808,"(47.68532711, -122.34802808)"
1125 23RD AVE E,6992174-CN,Single Family/Duplex,Residential,New,"Construct new East one-family dwelling, per plan.  (Establish use as single family residence with detached accessory dwelling unit per land use code.  Construct new two one-family dwellings, per plan. Review and processing for two records under 6945666-CN.)",0,0,1,11/17/2023 12:00:00 AM,147671,01/03/2024 12:00:00 AM,07/03/2025 12:00:00 AM,Issued,SEATTLE,WA,98112,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6992174-CN,47.6294896,-122.30273238,"(47.6294896, -122.30273238)"
6740 27TH AVE NW,6980442-CN,Single Family/Duplex,Residential,New,"Construct west one-family dwelling, per plans.  (Establish use as single family residence and detached accessory dwelling unit per Land Use Code.  Construct 2 one-family dwellings.  Reviews and processing for 2 construction records under 6980442-CN)",1,1,1,11/17/2023 12:00:00 AM,460657,02/07/2024 12:00:00 AM,08/07/2025 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6980442-CN,47.67887933,-122.39056416,"(47.67887933, -122.39056416)"
1938 FAIRVIEW AVE E,6994320-CN,Commercial,Non-Residential,New,"Construct tenant improvements to portions of a commercial building, per plans per plan.",0,0,0,11/15/2023 12:00:00 AM,35000,01/26/2024 12:00:00 AM,07/26/2025 12:00:00 AM,Issued,SEATTLE,WA,98102,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6994320-CN,47.63670589,-122.32851293,"(47.63670589, -122.32851293)"
2842 NW 62ND ST,6987850-CN,Single Family/Duplex,Residential,New,"Construct new two family dwelling, per plan. (Establish use as single family residence with attached and detached accessory dwelling units per land use code.  Construct new one and two family dwellings, per plan. Review and processing for two records under 6987850-CN)",0,0,2,11/10/2023 12:00:00 AM,610379,02/15/2024 12:00:00 AM,08/15/2025 12:00:00 AM,Issued,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6987850-CN,47.67390611,-122.3948886,"(47.67390611, -122.3948886)"
2840 NW 62ND ST,6995714-CN,Single Family/Duplex,Residential,New,"Construct new one family dwelling, per plan. (Establish use as single family residence with attached and detached accessory dwelling units per land use code.  Construct new one and two family dwellings, per plan. Review and processing for two records under 6987850-CN)",0,0,1,11/10/2023 12:00:00 AM,188169,02/15/2024 12:00:00 AM,08/15/2025 12:00:00 AM,Issued,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6995714-CN,47.67394359,-122.39480292,"(47.67394359, -122.39480292)"
3229 NE 94TH ST,6979492-CN,Single Family/Duplex,Residential,New,"Construct new east one-family dwelling, per plan. (Establish use as single family residence with detached accessory dwelling unit per land use code.  Construct (2) new one-family dwellings and one detached accessory garage, per plan. Review and processing for two records under 6979492-CN)",0,0,2,11/09/2023 12:00:00 AM,689102,02/16/2024 12:00:00 AM,08/16/2025 12:00:00 AM,Issued,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6979492-CN,47.69625279,-122.29205364,"(47.69625279, -122.29205364)"
3227 NE 94TH ST,6995536-CN,Single Family/Duplex,Residential,New,"Construct new west one-family dwelling and detached accessory garage, per plan. (Establish use as single family residence with detached accessory dwelling unit per land use code.  Construct (2) new one-family dwellings and one detached accessory garage, per plan. Review and processing for two records under 6979492-CN)",0,0,1,11/09/2023 12:00:00 AM,261191,02/16/2024 12:00:00 AM,08/16/2025 12:00:00 AM,Issued,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6995536-CN,47.69629346,-122.29215988,"(47.69629346, -122.29215988)"
1740 AURORA AVE N,6958790-CN,Multifamily,Residential,New,"Repair exterior façade and construct alterations to existing south condominium building, per plan. (Repair exterior façade and construct alterations to (2) existing condominium buildings, per plan. Review and processing for two records under 6941336-CN.)",,,,11/03/2023 12:00:00 AM,475000,11/03/2023 12:00:00 AM,05/03/2025 12:00:00 AM,Issued,SEATTLE,WA,98109,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6958790-CN,47.63584973,-122.34310635,"(47.63584973, -122.34310635)"
6208 29TH AVE NE,6981112-CN,Single Family/Duplex,Residential,New,"Establish use as single family residence per land use code. Construct new one family dwelling, per plan.",0,0,1,10/25/2023 12:00:00 AM,606153,02/21/2024 12:00:00 AM,08/21/2025 12:00:00 AM,Issued,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6981112-CN,47.67432843,-122.29615781,"(47.67432843, -122.29615781)"
9741 MARY AVE NW,6988938-CN,Single Family/Duplex,Residential,New,"Construct new one family dwelling, per plan. (Establish use as a single family residence with detached accessory dwelling unit per land use code. Construct new one family dwellings and accessory structure, per plan. Review and processing for two records under 6839314-CN)",1,1,1,10/20/2023 12:00:00 AM,196815,10/20/2023 12:00:00 AM,04/20/2025 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6988938-CN,47.70124226,-122.37594504,"(47.70124226, -122.37594504)"
2153 4TH AVE W,6988574-CN,Single Family/Duplex,Residential,New,"Establish use as single family residence with attached accessory dwelling unit per land use code. Construct two family dwelling and detached garage, per plan.",0,0,2,10/20/2023 12:00:00 AM,531974,01/29/2024 12:00:00 AM,07/29/2025 12:00:00 AM,Issued,SEATTLE,WA,98119,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6988574-CN,47.63929716,-122.36260677,"(47.63929716, -122.36260677)"
2513 2nd AVE W,6976658-CN,Single Family/Duplex,Residential,New,"Establish use as single-family residence, per land use code.  Construct one-family dwelling, per plan",1,1,1,10/20/2023 12:00:00 AM,469570,02/13/2024 12:00:00 AM,08/13/2025 12:00:00 AM,Issued,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6976658-CN,47.64189117,-122.35988815,"(47.64189117, -122.35988815)"
2401 5th AVE W,6982744-CN,Single Family/Duplex,Residential,New,"Remove detached garage and construct new detached garage with pre-manufactured truss roof, accessory to an existing single-family residence, subject to field inspection.",,,,10/19/2023 12:00:00 AM,29251,10/20/2023 12:00:00 AM,04/20/2025 12:00:00 AM,Issued,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6982744-CN,47.63972959,-122.363898,"(47.63972959, -122.363898)"
8208 40TH AVE NE,6979499-CN,Single Family/Duplex,Residential,New,"Establish use as single-family residence, per land use code.  Construct as one-family dwelling with attached garage, per plan.",0,0,1,10/18/2023 12:00:00 AM,607184,12/21/2023 12:00:00 AM,06/21/2025 12:00:00 AM,Issued,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6979499-CN,47.68872765,-122.28506427,"(47.68872765, -122.28506427)"
7529 29TH AVE NW,6991739-CN,Single Family/Duplex,Residential,New,"Remove existing detached garage and construct new detached garage, subject to field inspection [STFI].",,,,10/17/2023 12:00:00 AM,29251,10/22/2023 12:00:00 AM,04/22/2025 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6991739-CN,47.68401737,-122.39468597,"(47.68401737, -122.39468597)"
5238 23RD AVE SW,6693184-CN,Single Family/Duplex,Residential,New,"Construct single family residence (SFR 2), per plans.  Project includes garage serving adjacent residence SFR 6. (Establish use for 6 single family residences and construct 6 one-family dwellings.  Reviews and processing for 6 construction records under 6619504-CN).",,,,10/15/2023 12:00:00 AM,481860,10/15/2023 12:00:00 AM,04/15/2025 12:00:00 AM,Issued,SEATTLE,WA,98106,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6693184-CN,47.55457235,-122.36150757,"(47.55457235, -122.36150757)"
8911 WALLINGFORD AVE N,6991163-CN,Single Family/Duplex,Residential,New,"Construct east one -family dwelling (Establish use as single-family residence w/ attached accessory dwelling unit (AADU) & detached accessory dwelling unit (DADU), per land use code.  Construct west two-family dwelling & east one-family dwelling, per plan.  Review & process for (2) records under 6990027-CN)""",,,,10/13/2023 12:00:00 AM,185179,01/19/2024 12:00:00 AM,07/19/2025 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6991163-CN,47.69267655,-122.33673863,"(47.69267655, -122.33673863)"
8809 WALLINGFORD AVE N,6990027-CN,Single Family/Duplex,Residential,New,"Construct west two-family dwelling (Establish use as single-family residence w/ attached accessory dwelling unit (AADU) & detached accessory dwelling unit (DADU), per land use code.  Construct west two-family dwelling & east one-family dwelling, per plan.  Review & process for (2) records under 6990027-CN)",0,0,3,10/13/2023 12:00:00 AM,636079,01/19/2024 12:00:00 AM,07/19/2025 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6990027-CN,47.69267848,-122.33694176,"(47.69267848, -122.33694176)"
914 B 32ND AVE,6976199-CN,Single Family/Duplex,Residential,New,"Establish use as single family residence with detached accessory dwelling unit per land use code. Construct new one family dwelling, per plan.",1,0,1,10/12/2023 12:00:00 AM,70584,01/19/2024 12:00:00 AM,07/19/2025 12:00:00 AM,Issued,SEATTLE,WA,98122,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6976199-CN,47.61089941,-122.2910403,"(47.61089941, -122.2910403)"
11714 26TH AVE NE,6982322-CN,Single Family/Duplex,Residential,New,"Construct a two-family dwelling, per plans. (Establish use as single-family residence with attached and detached accessory dwelling units, per land use code. Construct one two-family dwelling. Reviews and processing for 2 construction records under 6982322-CN)",0,0,2,10/09/2023 12:00:00 AM,352090,11/30/2023 12:00:00 AM,05/30/2025 12:00:00 AM,Issued,SEATTLE,WA,98125,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6982322-CN,47.71457304,-122.29984527,"(47.71457304, -122.29984527)"
3637 34TH AVE W,6989813-CN,Single Family/Duplex,Residential,New,"Construct new one family dwelling, per plan. (Establish use as single family residence with attached and detached accessory dwelling units per land use code. Construct new one- and two-family dwellings, per plan. Review and processing for two records under 6977987-CN)",,,,10/06/2023 12:00:00 AM,198425,12/18/2023 12:00:00 AM,06/18/2025 12:00:00 AM,Issued,SEATTLE,WA,98199,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6989813-CN,47.65340654,-122.40147273,"(47.65340654, -122.40147273)"
3639 34TH AVE W,6977987-CN,Single Family/Duplex,Residential,New,"Construct new two-family dwelling, per plan. (Establish use as single family residence with attached and detached accessory dwelling units per land use code. Construct new one- and two-family dwellings, per plan. Review and processing for two records under 6977987-CN)",0,0,3,10/06/2023 12:00:00 AM,599513,12/18/2023 12:00:00 AM,06/18/2025 12:00:00 AM,Issued,SEATTLE,WA,98199,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6977987-CN,47.65341048,-122.40128952,"(47.65341048, -122.40128952)"
13530 3RD AVE NW,6985003-CN,Single Family/Duplex,Residential,New,"Allow new detached accessory dwelling unit to existing single family use per land use code.  Construct new one family dwelling, per standard plan 6880596-SP, existing single family dwelling unit to remain.",1,0,1,10/05/2023 12:00:00 AM,199873,12/08/2023 12:00:00 AM,06/08/2025 12:00:00 AM,Issued,SEATTLE,WA,98177,CHRIS MYERS,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6985003-CN,47.72774929,-122.36065134,"(47.72774929, -122.36065134)"
6238 5TH AVE NW,6988562-CN,Single Family/Duplex,Residential,New,"Construct new one-family dwelling, per plan. (Establish use as single-family residence with attached and detached accessory dwelling units per land use code. Construct new one- and two-family dwellings, per plan. Review and processing for two records under 6986889)",0,0,1,10/01/2023 12:00:00 AM,186010,01/19/2024 12:00:00 AM,07/19/2025 12:00:00 AM,Issued,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6988562-CN,47.6752968,-122.36251619,"(47.6752968, -122.36251619)"
6234 5TH AVE NW,6986889-CN,Single Family/Duplex,Residential,New,"Construct new two-family dwelling, per plan. (Establish use as single-family residence with attached and detached accessory dwelling units per land use code. Construct new one- and two-family dwellings, per plan. Review and processing for two records under 6986889)",1,1,2,10/01/2023 12:00:00 AM,528414,01/19/2024 12:00:00 AM,07/19/2025 12:00:00 AM,Issued,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6986889-CN,47.67526595,-122.3627051,"(47.67526595, -122.3627051)"
4927 50TH AVE S,6985934-CN,Single Family/Duplex,Residential,New,"Replace at-grade stairs from street level to an existing single-family residence, subject to field inspection.",1,0,0,09/29/2023 12:00:00 AM,10000,09/30/2023 12:00:00 AM,03/30/2025 12:00:00 AM,Issued,SEATTLE,WA,98118,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6985934-CN,47.55743582,-122.27102074,"(47.55743582, -122.27102074)"
7114 32ND AVE SW,6977951-CN,Single Family/Duplex,Residential,New,"Construct detached garage accessory to existing single family residence, subject to field inspection.",,,,09/28/2023 12:00:00 AM,48397,09/28/2023 12:00:00 AM,03/28/2025 12:00:00 AM,Issued,SEATTLE,WA,98126,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6977951-CN,47.53872776,-122.37362528,"(47.53872776, -122.37362528)"
2353 NE 91ST ST,6975167-CN,Single Family/Duplex,Residential,New,"*see tree prot. in key inspn* Establish use as single family residence and detached accessory dwelling units per land use code. Construct new East one family dwelling, per plan (Construct 2 new one family dwellings, review and process for two records under 6975167-CN)",0,0,1,09/26/2023 12:00:00 AM,506392,02/22/2024 12:00:00 AM,08/22/2025 12:00:00 AM,Issued,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6975167-CN,47.69469653,-122.30174588,"(47.69469653, -122.30174588)"
2351 NE 91ST ST,6987914-CN,Single Family/Duplex,Residential,New,"Construct new West one family dwelling, per plan (Establish use as single family residence and detached accessory dwelling units per land use code.  Construct 2 new one family dwellings, review and process for two records under 6975167-CN)",0,0,1,09/26/2023 12:00:00 AM,201302,02/22/2024 12:00:00 AM,08/22/2025 12:00:00 AM,Issued,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6987914-CN,47.69469692,-122.30195683,"(47.69469692, -122.30195683)"
304 NW 51ST ST,6987318-CN,Single Family/Duplex,Residential,New,"Construct additions and alterations to existing accessory structure, subject-to-field-inspection (STFI).",,,,09/22/2023 12:00:00 AM,69550,09/22/2023 12:00:00 AM,03/22/2025 12:00:00 AM,Issued,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6987318-CN,47.66592941,-122.36104677,"(47.66592941, -122.36104677)"
5206 18TH AVE SW,6888624-CN,Vacant Land,Non-Residential,New,"Construct new DADU, per plan. (Establish use as single family residence with (1) AADU and (1) DADU and Construct one- and two-family dwellings, per plan / Review and process for two CN records under 6885915)",0,0,1,09/21/2023 12:00:00 AM,167264,09/21/2023 12:00:00 AM,03/21/2025 12:00:00 AM,Issued,SEATTLE,WA,98106,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6888624-CN,47.55543184,-122.35654109,"(47.55543184, -122.35654109)"
9236 EVANSTON AVE N,6985997-CN,Single Family/Duplex,Residential,New,"Construct southeast one-family dwelling, per plan. (Allow new attached and detached accessory dwelling units to existing single family residence per land use code. Construct alterations and additions to convert one-family dwelling to two-family dwelling and Construct one-family dwelling, per plan. Review and processing for (2) construction records under # 6967704-CN.)",0,0,1,09/20/2023 12:00:00 AM,176875,12/12/2023 12:00:00 AM,06/12/2025 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6985997-CN,47.69712565,-122.35087919,"(47.69712565, -122.35087919)"
3625 13TH AVE W,6948078-CN,Single Family/Duplex,Residential,New,"Construct east one family dwelling, per plan. (Establish use as townhomes and single family residences, per land use code. Construct (2) one and (1) two family dwellings, per plan. Review and processing for 3 records under 6911314-CN)",0,0,1,09/19/2023 12:00:00 AM,369362,02/02/2024 12:00:00 AM,08/02/2025 12:00:00 AM,Issued,SEATTLE,WA,98119,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6948078-CN,47.65287443,-122.37383602,"(47.65287443, -122.37383602)"
7934 SEWARD PARK AVE S,6986708-CN,Single Family/Duplex,Residential,New,"Construct unheated greenhouse in rear yard and accessory to existing residence, per plot plan and subject to field inspection (STFI).",,,,09/19/2023 12:00:00 AM,4000,09/27/2023 12:00:00 AM,03/27/2025 12:00:00 AM,Issued,SEATTLE,WA,98118,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6986708-CN,47.53073195,-122.26551181,"(47.53073195, -122.26551181)"
11737 C 38TH AVE NE,6986198-CN,Single Family/Duplex,Residential,New,"Convert existing east SFR to DADU, per plan (Allow use as single-family residence with attached and detached accessory dwelling units per land use code. Construct new two-family dwelling and convert existing single-family dwelling to a DADU, per plan. Review and processing for two records under 6975107-CN)",0,0,1,09/15/2023 12:00:00 AM,0,02/12/2024 12:00:00 AM,08/12/2025 12:00:00 AM,Issued,SEATTLE,WA,98125,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6986198-CN,47.71470708,-122.28786923,"(47.71470708, -122.28786923)"
11737 A 38TH AVE NE,6975107-CN,Single Family/Duplex,Residential,New,"Construct west two-family dwelling, per plan (Allow use as single-family residence with attached and detached accessory dwelling units per land use code. Construct new two-family dwelling and convert existing single-family dwelling to a DADU, per plan. Review and processing for two records under 6975107-CN)",1,0,1,09/15/2023 12:00:00 AM,521604,02/06/2024 12:00:00 AM,08/06/2025 12:00:00 AM,Issued,SEATTLE,WA,98125,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6975107-CN,47.7147098,-122.28753872,"(47.7147098, -122.28753872)"
912 N 76TH ST,6968913-CN,Single Family/Duplex,Residential,New,"Construct new one-family dwelling, per plan",1,0,0,09/11/2023 12:00:00 AM,423726,01/02/2024 12:00:00 AM,07/02/2025 12:00:00 AM,Issued,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6968913-CN,47.68421718,-122.34653621,"(47.68421718, -122.34653621)"
